Year,Area harvested,Area per capita,Gross Production Value (current thousand US$),Production,Yield
1961,971285874.0,0.4392,,2721667060.02,8660516.0
1962,987234256.0,0.4319,,2781538131.38,8439018.0
1963,999568589.0,0.4243,,2843373319.68,8454978.0
1964,1016441942.0,0.4157,,3038742860.01,8616917.0
1965,1010682709.0,0.408,,3095398085.34,8559899.0
1966,1007968117.0,0.3996,,3226339336.15,8780118.0
1967,1021208454.0,0.3922,,3326167427.8,8928950.0
1968,1024024285.0,0.3877,,3402406083.37,9136960.0
1969,1026516833.0,0.382,,3411730450.69,9057895.0
1970,1025933784.0,0.374,,3583324843.06,9147378.0
1971,1039943611.0,0.3658,,3665190787.45,9155148.0
1972,1032410467.0,0.3602,,3605378364.54,8983054.0
1973,1063133204.0,0.3538,,3887246345.49,9278758.0
1974,1067759521.0,0.3478,,3862957960.51,9096831.0
1975,1078157431.0,0.3417,,3940133983.27,9210297.0
1976,1084386180.0,0.3373,,4126374721.84,9237005.0
1977,1094177424.0,0.3329,,4228552971.15,9381821.0
1978,1102310233.0,0.3298,,4457472899.72,9522819.0
1979,1097089846.0,0.3255,,4432079305.21,9536494.0
1980,1106983274.0,0.3205,,4355893970.18,9218254.0
1981,1121918279.0,0.3157,,4589453664.36,9175346.0
1982,1115111420.0,0.3122,,4842591372.41,9517637.0
1983,1100594277.0,0.3079,,4743119204.24,9471666.0
1984,1124182954.0,0.3058,,5053950871.06,9822416.0
1985,1141850434.0,0.3034,,5099425411.08,8972063.0
1986,1140411632.0,0.2985,,5159320276.21,9061185.0
1987,1122368104.0,0.2938,,5219153396.9800005,9114173.0
1988,1140169475.0,0.2886,,5185454509.41,9234366.0
1989,1154129260.0,0.2836,,5439057955.809999,9241486.0
1990,1151975664.0,0.279,,5588957552.99,9647095.0
1991,1158599851.45,0.2749,1780145179.0,5573070796.21,9483076.0
1992,1164024127.66,0.2701,1607988267.0,5743684436.86,9737859.0
1993,1151751782.6,0.2661,1615905121.0,5660416625.79,9884150.0
1994,1165452173.8899999,0.2621,1713746961.0,5805544675.39,9943410.0
1995,1166395138.69,0.2584,1926249657.0,5920965448.610001,10063561.0
1996,1180177376.43,0.2549,2225384247.0,6251583696.41,10278085.0
1997,1189379462.96,0.2523,2130753691.0,6371081687.9800005,10391098.0
1998,1179870758.84,0.249,2087579501.0,6425233837.4,10271222.0
1999,1180899666.06,0.2464,1767833830.0,6579275401.54,10694948.0
2000,1183186985.4,0.243,1760596693.0,6650814837.56,10768521.0
2001,1185480852.65,0.2402,1743867587.0,6736129158.93,10699496.0
2002,1179676862.38,0.237,1775338933.0,6856505603.01,10958546.0
2003,1205942817.96,0.2348,2041040520.0,6999809137.37,11170582.0
2004,1226362105.65,0.2327,2403223271.0,7342851579.26,11392350.0
2005,1253713077.47,0.2307,2556350749.0,7376129919.89,11443273.0
2006,1245810450.13,0.2277,2779725391.0,7578148996.23,11675116.0
2007,1262160535.12,0.2251,3343055605.0,7925671075.26,11858901.0
2008,1290243572.3,0.2224,3919002276.0,8304828714.13,12316697.0
2009,1281255716.79,0.2207,3661869943.0,8250008422.61,12418326.0
2010,1301243933.62,0.2184,4203355511.0,8439887515.7,12337264.0
2011,1331804686.99,0.2171,5025996587.0,8929768595.91,12539064.0
2012,1343021422.1399999,0.2154,5111732603.0,8980668846.18,12634435.0
2013,1371891662.9,0.2134,5227115671.0,9386771703.89,12849590.0
2014,1387921858.04,0.2114,5081695535.0,9567094552.15,13175345.0
2015,1388908415.81,0.2097,4840175757.0,9596741463.73,13243170.0
2016,1402769684.8,0.2077,4798082818.0,9754585401.54,13407143.0
2017,1428300394.94,0.2062,4782104286.0,9987100184.06,13528163.0
2018,1425864536.84,0.2044,4834241055.0,10049029156.3,13438810.0
2019,1417840259.42,0.2024,5380918188.0,10174600952.09,13500327.0
2020,1448131732.69,0.201,5444576369.0,10138293935.13,13454997.0
2021,1471261572.16,0.1997,5854255881.0,10313258478.43,13544733.0
2022,1472158690.51,,6217408601.0,9609478173.34,13809293.0
