Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","001","World","5006","Area from CGLS","6970","Artificial surfaces (including urban and associated areas)","2015","2015","1000 ha","115321.04","E","Estimated value"
"LC","Land Cover","001","World","5006","Area from CGLS","6970","Artificial surfaces (including urban and associated areas)","2016","2016","1000 ha","115626.16","E","Estimated value"
"LC","Land Cover","001","World","5006","Area from CGLS","6970","Artificial surfaces (including urban and associated areas)","2017","2017","1000 ha","116618.47","E","Estimated value"
"LC","Land Cover","001","World","5006","Area from CGLS","6970","Artificial surfaces (including urban and associated areas)","2018","2018","1000 ha","116983.93","E","Estimated value"
"LC","Land Cover","001","World","5006","Area from CGLS","6970","Artificial surfaces (including urban and associated areas)","2019","2019","1000 ha","117316.85","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2001","2001","1000 ha","81286.63","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2002","2002","1000 ha","81755.23","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2003","2003","1000 ha","82006.86","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2004","2004","1000 ha","82213.63","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2005","2005","1000 ha","82419.16","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2006","2006","1000 ha","82665.01","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2007","2007","1000 ha","82885.44","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2008","2008","1000 ha","83072.66","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2009","2009","1000 ha","83321.09","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2010","2010","1000 ha","83550.47","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2011","2011","1000 ha","83815.72","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2012","2012","1000 ha","84059.99","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2013","2013","1000 ha","84287.04","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2014","2014","1000 ha","84567.63","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2015","2015","1000 ha","84868.48","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2016","2016","1000 ha","85080.47","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2017","2017","1000 ha","85312.24","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2018","2018","1000 ha","85559.11","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2019","2019","1000 ha","85865.55","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2020","2020","1000 ha","86149.12","E","Estimated value"
"LC","Land Cover","001","World","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2021","2021","1000 ha","86385.45","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1992","1992","1000 ha","25914.2","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1993","1993","1000 ha","26661.46","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1994","1994","1000 ha","27407.55","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1995","1995","1000 ha","28171","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1996","1996","1000 ha","28936.57","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1997","1997","1000 ha","29666.18","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1998","1998","1000 ha","30430.95","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","1999","1999","1000 ha","31153.33","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2000","2000","1000 ha","31935.67","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2001","2001","1000 ha","34144.61","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2002","2002","1000 ha","36312.41","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2003","2003","1000 ha","38431.83","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2004","2004","1000 ha","40620.98","E","Estimated value"
"LC","Land Cover","001","World","5008","Area from CCI_LC","6970","Artificial surfaces (including urban and associated areas)","2005","2005","1000 ha","42034.74","E","Estimated value"
