Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1961","1961","1000 ha","4436448.1265","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1962","1962","1000 ha","4445701.0235","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1963","1963","1000 ha","4453660.9902","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1964","1964","1000 ha","4462060.5716","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1965","1965","1000 ha","4475136.973","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1966","1966","1000 ha","4482801.3977","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1967","1967","1000 ha","4494469.2859","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1968","1968","1000 ha","4528668.7031","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1969","1969","1000 ha","4535262.1009","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1970","1970","1000 ha","4524786.3505","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1971","1971","1000 ha","4540487.0887","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1972","1972","1000 ha","4556585.472","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1973","1973","1000 ha","4568907.3047","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1974","1974","1000 ha","4583325.1575","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1975","1975","1000 ha","4590785.3502","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1976","1976","1000 ha","4592808.5179","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1977","1977","1000 ha","4599158.9456","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1978","1978","1000 ha","4616303.1034","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1979","1979","1000 ha","4624038.1065","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1980","1980","1000 ha","4637628.2968","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1981","1981","1000 ha","4643137.8748","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1982","1982","1000 ha","4658749.1304","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1983","1983","1000 ha","4666878.2103","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1984","1984","1000 ha","4693346.251","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1985","1985","1000 ha","4722507.4135","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1986","1986","1000 ha","4721498.5872","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1987","1987","1000 ha","4736930.2387","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1988","1988","1000 ha","4754568.2764","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1989","1989","1000 ha","4765975.5283","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1990","1990","1000 ha","4777459.3814","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1991","1991","1000 ha","4781216.7882","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1992","1992","1000 ha","4820657.7648","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1993","1993","1000 ha","4803934.4177","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1994","1994","1000 ha","4826165.5827","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1995","1995","1000 ha","4824899.289","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1996","1996","1000 ha","4832748.7513","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1997","1997","1000 ha","4852970.3306","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1998","1998","1000 ha","4866379.5982","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","1999","1999","1000 ha","4868725.1752","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2000","2000","1000 ha","4873695.3979","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2001","2001","1000 ha","4875685.3402","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2002","2002","1000 ha","4867709.6828","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2003","2003","1000 ha","4849433.7319","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2004","2004","1000 ha","4853226.8217","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2005","2005","1000 ha","4850293.6427","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2006","2006","1000 ha","4840530.6485","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2007","2007","1000 ha","4833644.8404","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2008","2008","1000 ha","4818768.9547","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2009","2009","1000 ha","4809619.1799","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2010","2010","1000 ha","4806433.4636","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2011","2011","1000 ha","4816574.3907","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2012","2012","1000 ha","4815311.1257","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2013","2013","1000 ha","4815785.2006","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2014","2014","1000 ha","4824044.7593","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2015","2015","1000 ha","4788150.9392","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2016","2016","1000 ha","4794772.3706","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2017","2017","1000 ha","4820995.1165","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2018","2018","1000 ha","4805869.6543","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2019","2019","1000 ha","4811191.76","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2020","2020","1000 ha","4807762.8683","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6602","Agriculture","2021","2021","1000 ha","4817696.1204","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1961","1961","1000 ha","4436448.1265","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1961","1961","%","34.02","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1962","1962","1000 ha","4445701.0235","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1962","1962","%","34.09","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1963","1963","1000 ha","4453660.9902","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1963","1963","%","34.15","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1964","1964","1000 ha","4462060.5716","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1964","1964","%","34.22","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1965","1965","1000 ha","4475136.973","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1965","1965","%","34.32","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1966","1966","1000 ha","4482801.3977","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1966","1966","%","34.38","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1967","1967","1000 ha","4494469.2859","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1967","1967","%","34.47","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1968","1968","1000 ha","4528668.7031","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1968","1968","%","34.73","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1969","1969","1000 ha","4535262.1009","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1969","1969","%","34.78","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1970","1970","1000 ha","4524786.3505","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1970","1970","%","34.7","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1971","1971","1000 ha","4540487.0887","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1971","1971","%","34.82","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1972","1972","1000 ha","4556585.472","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1972","1972","%","34.94","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1973","1973","1000 ha","4568907.3047","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1973","1973","%","35.04","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1974","1974","1000 ha","4583325.1575","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1974","1974","%","35.15","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1975","1975","1000 ha","4590785.3502","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1975","1975","%","35.2","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1976","1976","1000 ha","4592808.5179","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1976","1976","%","35.22","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1977","1977","1000 ha","4599158.9456","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1977","1977","%","35.27","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1978","1978","1000 ha","4616303.1034","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1978","1978","%","35.4","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1979","1979","1000 ha","4624038.1065","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1979","1979","%","35.46","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1980","1980","1000 ha","4637628.2968","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1980","1980","%","35.56","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1981","1981","1000 ha","4643137.8748","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1981","1981","%","35.61","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1982","1982","1000 ha","4658749.1304","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1982","1982","%","35.73","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1983","1983","1000 ha","4666878.2103","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1983","1983","%","35.79","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1984","1984","1000 ha","4693346.251","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1984","1984","%","35.99","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1985","1985","1000 ha","4722507.4135","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1985","1985","%","36.22","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1986","1986","1000 ha","4721498.5872","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1986","1986","%","36.21","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1987","1987","1000 ha","4736930.2387","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1987","1987","%","36.33","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1988","1988","1000 ha","4754568.2764","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","1988","1988","%","36.46","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","1989","1989","1000 ha","4765975.5283","E","Estimated value",""
