Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),01315,Figs,1978,1978,1000 Int$,642951,E,Estimated value
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),01929.90,"Other fibre crops, raw, n.e.c.",1974,1974,1000 Int$,79584,E,Estimated value
QV,Value of Agricultural Production,1,World,57,Gross Production Value (current thousand US$),0115,Barley,2006,2006,1000 USD,19423910,E,Estimated value
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),01709.01,Vetches,2005,2005,1000 Int$,404497,E,Estimated value
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),01379.02,Kola nuts,2015,2015,1000 Int$,233464,E,Estimated value
QV,Value of Agricultural Production,1,World,58,Gross Production Value (constant 2014-2016 thousand US$),21124,"Meat of turkeys, fresh or chilled",1989,1989,1000 USD,7112831,E,Estimated value
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),01211,Asparagus,1986,1986,1000 Int$,1621511,E,Estimated value
QV,Value of Agricultural Production,1,World,57,Gross Production Value (current thousand US$),01499.01,Karite nuts (sheanuts),2017,2017,1000 USD,102408,E,Estimated value
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),0118,Millet,2006,2006,1000 Int$,9602286,E,Estimated value
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),01709.02,Lupins,1961,1961,1000 Int$,188192,E,Estimated value
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),01449.90,"Other oil seeds, n.e.c.",1995,1995,1000 Int$,711826,E,Estimated value
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),01324,"Tangerines, mandarins, clementines",1975,1975,1000 Int$,3646440,E,Estimated value
QV,Value of Agricultural Production,1,World,58,Gross Production Value (constant 2014-2016 thousand US$),01374,"Hazelnuts, in shell",2013,2013,1000 USD,3526962,E,Estimated value
QV,Value of Agricultural Production,1,World,58,Gross Production Value (constant 2014-2016 thousand US$),01374,"Hazelnuts, in shell",1998,1998,1000 USD,3445402,E,Estimated value
QV,Value of Agricultural Production,1,World,58,Gross Production Value (constant 2014-2016 thousand US$),01192,Buckwheat,1981,1981,1000 USD,1064312,E,Estimated value
QV,Value of Agricultural Production,1,World,58,Gross Production Value (constant 2014-2016 thousand US$),01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,2019,1000 USD,2908047,E,Estimated value
QV,Value of Agricultural Production,1,World,57,Gross Production Value (current thousand US$),01290.90,"Other vegetables, fresh n.e.c.",1996,1996,1000 USD,27972731,E,Estimated value
QV,Value of Agricultural Production,1,World,57,Gross Production Value (current thousand US$),01211,Asparagus,2010,2010,1000 USD,8792125,E,Estimated value
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),01355.02,Cranberries,2005,2005,1000 Int$,401175,E,Estimated value
QV,Value of Agricultural Production,1,World,57,Gross Production Value (current thousand US$),01243,"Broad beans and horse beans, green",2010,2010,1000 USD,875186,E,Estimated value
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),01449.01,Melonseed,2016,2016,1000 Int$,274615,E,Estimated value
QV,Value of Agricultural Production,1,World,58,Gross Production Value (constant 2014-2016 thousand US$),0113,Rice,2002,2002,1000 USD,260289644,E,Estimated value
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),21118.03i,"Meat of mules, fresh or chilled (indigenous)",2001,2001,1000 Int$,284645,E,Estimated value
QV,Value of Agricultural Production,1,World,57,Gross Production Value (current thousand US$),01657,"Ginger, raw",2003,2003,1000 USD,757377,E,Estimated value
QV,Value of Agricultural Production,1,World,152,Gross Production Value (constant 2014-2016 thousand I$),01658,"Vanilla, raw",1988,1988,1000 Int$,10141,E,Estimated value
