Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,1,World,5510,Production,0111,Wheat,2002,2002,t,592045285.69,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01214,Lettuce and chicory,1972,1972,t,6885464.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01214,Lettuce and chicory,1986,1986,100 g/ha,195297.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01620,Tea leaves,1969,1969,t,1238984.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01499.05,Kapok fruit,1967,1967,t,222330.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01253.02,"Onions and shallots, dry (excluding dehydrated)",1962,1962,ha,1207770.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01191,Triticale,2008,2008,ha,3888937.0,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01349.20,Other stone fruits,2007,2007,ha,70943.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01290.01,Green corn (maize),1986,1986,ha,837032.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01701,"Beans, dry",2015,2015,t,26292012.65,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01312,Bananas,1961,1961,ha,2106392.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01253.01,"Onions and shallots, green",2004,2004,100 g/ha,195603.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01704,"Lentils, dry",1983,1983,t,1803030.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01229,Cantaloupes and other melons,2015,2015,100 g/ha,244018.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01321,Pomelos and grapefruits,2014,2014,ha,320295.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01349.10,Other pome fruits,2000,2000,100 g/ha,46471.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01199.90,Cereals n.e.c.,1967,1967,t,1508841.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01211,Asparagus,2016,2016,100 g/ha,52912.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01314,Dates,1986,1986,100 g/ha,51121.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01499.05,Kapok fruit,2000,2000,t,420380.0,X,Figure from international organizations,
